loss,accuracy,val_loss,val_accuracy,lr
1.7938473224639893,0.2534395754337311,1.7674485445022583,0.262149453163147,0.0005
1.7552320957183838,0.27877917885780334,1.7079870700836182,0.32607558369636536,0.0005
1.7176780700683594,0.3033786118030548,1.689465880393982,0.33635255694389343,0.0005
1.6804707050323486,0.32392895221710205,1.5845729112625122,0.3774603605270386,0.0005
1.6482776403427124,0.3420846462249756,1.556047797203064,0.3833826780319214,0.0005
1.6158192157745361,0.35501566529273987,1.5188549757003784,0.4187423884868622,0.0005
1.5810117721557617,0.37086382508277893,1.5086523294448853,0.4027172923088074,0.0005
1.5574777126312256,0.3861024081707001,1.468096137046814,0.43825116753578186,0.0005
1.5376102924346924,0.3927203118801117,1.4482927322387695,0.4429541826248169,0.0005
1.511206865310669,0.4112243056297302,1.4666718244552612,0.42710328102111816,0.0005
1.4874703884124756,0.4217607080936432,1.4220629930496216,0.44957324862480164,0.0005
1.4625613689422607,0.4339951276779175,1.456140398979187,0.4326772391796112,0.0005
1.4390274286270142,0.44509753584861755,1.351459264755249,0.48876503109931946,0.0005
1.4187949895858765,0.45680946111679077,1.389742136001587,0.4750043451786041,0.0005
1.4087309837341309,0.4590734839439392,1.337448239326477,0.49381640553474426,0.0005
1.3893715143203735,0.46534308791160583,1.3224360942840576,0.4976485073566437,0.0005
1.381493091583252,0.4658220112323761,1.2920857667922974,0.5082738399505615,0.0005
1.3745465278625488,0.4731365442276001,1.2732350826263428,0.5098415017127991,0.0005
1.3577617406845093,0.4808429181575775,1.285887598991394,0.5103640556335449,0.0005
1.3534519672393799,0.4821055233478546,1.3066173791885376,0.5026998519897461,0.0005
1.3427951335906982,0.4879832863807678,1.3130457401275635,0.5044417381286621,0.0005
1.3317071199417114,0.4896377623081207,1.2437185049057007,0.5260407328605652,0.0005
1.3209121227264404,0.4969522953033447,1.2362358570098877,0.5269116759300232,0.0005
1.327299952507019,0.4952542781829834,1.3195809125900269,0.49904197454452515,0.0005
1.3103466033935547,0.4996081590652466,1.2651512622833252,0.5175056457519531,0.0005
1.3039249181747437,0.5014803409576416,1.274773120880127,0.5077512860298157,0.0005
1.3004941940307617,0.5047022104263306,1.2458702325820923,0.5239505171775818,0.0005
1.271337628364563,0.5171542763710022,1.1899001598358154,0.5486848950386047,0.000100000005
1.2693614959716797,0.5140194892883301,1.1993434429168701,0.5455495715141296,0.000100000005
1.260082483291626,0.5175896883010864,1.1765085458755493,0.5455495715141296,0.000100000005
